Date,Hour,PartID,Awarded,MCSimpleED,MCMarket
10/26/2019,4,591975,1164,16.2118553957309,8.35121312914713
10/26/2019,4,902793,557.6,16.9260722100551,10.507961264208
10/26/2019,4,595644,479.6,16.9603894426547,11.6122101626146
10/26/2019,4,328723,465,17.1008483236954,10.631093854153
10/26/2019,4,872788,420,17.0740325056611,11.8094959805216
10/26/2019,4,212494,412,17.1902116765358,11.8389545074715
10/26/2019,4,975156,196,17.4208037723017,12.4976287870149
10/26/2019,4,589605,184.8,17.4327591766465,12.600540759662
10/26/2019,5,401592,2114,15.6728009141822,7.41503394716191
10/26/2019,5,206845,1287.9,16.5275053440754,9.95897101255905
10/26/2019,5,591975,1167,16.4963969716835,8.92040455231029
10/26/2019,5,902793,716.200000000001,16.9945272031695,10.8635937849721
10/26/2019,5,595644,564,17.1157054976571,12.1859484389623
10/26/2019,5,328723,467,17.3433746501352,11.7295572354383
10/26/2019,5,872788,420,17.3301202431966,12.6165497944561
10/26/2019,5,212494,412,17.4336255886705,12.656264894148
10/26/2019,5,975156,196,17.6572128254553,13.2684576561914
10/26/2019,5,589605,184.8,17.6688011395179,13.3559168748512
10/26/2019,8,401592,2114,16.2790331625829,15.7696297554671
10/26/2019,8,591975,1321,17.140637691596,16.558991440859
10/26/2019,8,206845,1287.9,17.4048452271005,16.8282883335222
10/26/2019,8,872788,847,18.004370188292,17.3923214288069
10/26/2019,8,902793,837.6,17.9242610364307,17.2445696271776
10/26/2019,8,212494,713,18.1883210240758,17.5650306356067
10/26/2019,8,328723,630,18.2020669728536,17.5869053008457
10/26/2019,8,595644,569,18.3195412670549,17.5915860585729
10/26/2019,8,739738,495.8,18.4721122014331,17.8181288008804
10/26/2019,8,295534,345,18.6030455332905,17.9384418881835
10/26/2019,9,401592,2114,16.1725800733746,15.6894543703762
10/26/2019,9,591975,1316,17.038665622554,16.467961888823
10/26/2019,9,206845,1287.9,17.289190575449,16.7379236204388
10/26/2019,9,872788,844,17.888194035504,17.3001147576729
10/26/2019,9,902793,835.7,17.7916860016749,17.1371946924974
10/26/2019,9,212494,711,18.0689661457469,17.4701133177011
10/26/2019,9,328723,609.000000000002,18.1114272345223,17.5220486475893
10/26/2019,9,595644,565,18.1876710476363,17.4839712616849
10/26/2019,9,739738,494.7,18.347255095876,17.7178931121955
10/26/2019,9,295534,345,18.4725860717543,17.8374691174984
10/26/2019,10,401592,2114,15.2577038730416,13.8045637674521
10/26/2019,10,591975,1312,16.1948619407593,14.3507546023661
10/26/2019,10,206845,1287.9,16.4152974541581,14.9589881982505
10/26/2019,10,872788,893,16.9648263017545,15.4802749901324
10/26/2019,10,212494,872,16.9330963910896,15.5122528259576
10/26/2019,10,902793,826.8,16.8207029400631,15.3667791667924
10/26/2019,10,328723,601,17.2839441088358,15.8575439940026
10/26/2019,10,595644,561,17.3251058669739,15.6220487548855
10/26/2019,10,739738,493.6,17.4915620177235,16.0029449749384
10/26/2019,10,975156,196,17.9453500279641,16.4848519385051
10/26/2019,11,401592,2114,15.0590335333127,13.5809827452906
10/26/2019,11,591975,1308,15.9358005208738,14.0431861994396
10/26/2019,11,206845,1287.9,16.1535833905172,14.6918673380604
10/26/2019,11,212494,1036,16.3810669841726,14.8495042455673
